item_desc,rating,review_count,item_price,item_link,img_url
"Viotek GN34CW 34-Inch 21:9 Ultrawide Curved Gaming and Professional Computer Monitor, 100Hz 1440p, FreeSync FTS/RTS VESA (White)",4.3 out of 5 stars,0,359.99,https://www.amazon.com/Viotek-GN34CW-34-Inch-Ultrawide-Professional/dp/B07HZ499J4/ref=sr_1_13?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-13,https://m.media-amazon.com/images/I/71IDENSozKL._AC_UY218_.jpg
"LG 49WL95C-W 49-Inch Curved 32: 9 Ultrawide Dqhd IPS with HDR10 and USB Type-C,49 Inch Curved - 32:9 DQHD Resolution",4.2 out of 5 stars,199,1496.99,https://www.amazon.com/LG-49WL95C-W-49-Inch-Curved-Ultrawide/dp/B07PJQKLTW/ref=sr_1_14?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-14,https://m.media-amazon.com/images/I/71EP7F-yPKL._AC_UY218_.jpg
"LG 34WN650-W 34-Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Display with VESA DisplayHDR 400 and AMD FreeSync, Silver",4.3 out of 5 stars,7,398.55,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08138743AG2JPNN02IPP&url=%2FLG-34WN650-W-34-Inch-UltraWide-DisplayHDR%2Fdp%2FB087JB656Q%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-15-spons%26psc%3D1&qualifier=1598580150&id=810111381774621&widgetName=sp_mtf,https://m.media-amazon.com/images/I/81GrL4IJNjL._AC_UY218_.jpg
LG 34GN850-B 34 Inch 21: 9 UltraGear Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 144Hz and G-SYNC Compatibility - Black (34GN850-B),4.7 out of 5 stars,0,996.99,https://www.amazon.com/LG-34GN850-B-Inch-UltraGear-Compatibility/dp/B086XLLG28/ref=sr_1_16?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-16,https://m.media-amazon.com/images/I/71O+yBnpbNL._AC_UY218_.jpg
MSI Full HD Non-Glare 1ms 2560 x 1080 Ultra Wide 200Hz Refresh Rate HDR Ready USB/DP/HDMI Smart Headset Hanger FreeSync 30”Gaming Curved Monitor (Optix MAG301CR) - Black,3.9 out of 5 stars,43,349.99,https://www.amazon.com/MSI-Non-Glare-FreeSync-Optix-MAG301CR/dp/B087M7CRVC/ref=sr_1_17?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-17,https://m.media-amazon.com/images/I/610niDdSRML._AC_UY218_.jpg
"LG 38WN75C-B 38-Inch Class 21:9 Curved UltraWide QHD+ (3840 x 1600) IPS Display with HDR 10 and Tilt/Height Adjustable Stand, Black",4.4 out of 5 stars,22,896.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09099882OPAGBPKXWX06&url=%2FLG-38WN75C-B-38-Inch-Class-Adjustable%2Fdp%2FB087YZG5YS%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-20-spons%26psc%3D1&qualifier=1598580150&id=810111381774621&widgetName=sp_btf,https://m.media-amazon.com/images/I/81x55WcoReL._AC_UY218_.jpg
"VIOTEK GNV27DB 27-Inch Curved QHD Gaming Monitor | 144Hz 2560x1440p 4.8ms (OD) | 1500R Curvature, G-Sync-Ready FreeSync | DP, 3x HDMI, 3.5mm | 3-Year Warranty + Zero-Tolerance Dead Pixel Policy (VESA)",4.3 out of 5 stars,0,249.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03039113B1EAXVVX74GU&url=%2FGNV27DB-2560x1440p-Curvature-G-Sync-Ready-Zero-Tolerance%2Fdp%2FB084CYSSBG%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-21-spons%26psc%3D1&qualifier=1598580150&id=810111381774621&widgetName=sp_btf,https://m.media-amazon.com/images/I/71UVxr8kX6L._AC_UY218_.jpg
"Lenovo 27"" Anti-Glare WLED Monitor_ FHD 1920 x 1080 Screen_ 75Hz with AMD FreeSync_ 4ms Extreme Mode Response Time_ 1000:1 Contrast Ratio_ 16:9 Aspect Ratio_ HDMI_ VGA_ BROAGE HDMI Cable 3ft",4.5 out of 5 stars,9,229.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00261232NX4C05X9HQ7P&url=%2FLenovo-Anti-Glare-Monitor_-FreeSync_-Response%2Fdp%2FB089LV1GBK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-22-spons%26psc%3D1&qualifier=1598580150&id=810111381774621&widgetName=sp_btf,https://m.media-amazon.com/images/I/416qo6Kj5kL._AC_UY218_.jpg
"VIOTEK FI24D 24-Inch IPS QHD Gaming Monitor | 75Hz 1440p 6ms (OD) | FreeSync GamePlus G-Sync-Compatible | HDMI DP 3.5mm | Zero-Tolerance Dead Pixel Policy (VESA),24"" 1440p 75Hz Black",4.1 out of 5 stars,44,159.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05025091TNO96PJ7Q84R&url=%2FFI24D-FreeSync-GamePlus-G-Sync-Compatible-Zero-Tolerance%2Fdp%2FB0842C9K8V%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-17-spons%26psc%3D1%26smid%3DA1BVYXEL822RF0&qualifier=1598580153&id=1555931968675613&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71Zt9HU+19L._AC_UY218_.jpg
Lenovo G25-24.5 Gaming Monitor,,,220.39,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09675262NXQHLYXUB360&url=%2FLenovo-G25-24-5-Gaming-Monitor%2Fdp%2FB08B6DKP7V%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-18-spons%26psc%3D1&qualifier=1598580153&id=1555931968675613&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/51bFJy-hBSL._AC_UY218_.jpg
"LG 38WN75C-B 38-Inch Class 21:9 Curved UltraWide QHD+ (3840 x 1600) IPS Display with HDR 10 and Tilt/Height Adjustable Stand, Black",4.4 out of 5 stars,22,896.99,https://www.amazon.com/LG-38WN75C-B-38-Inch-Class-Adjustable/dp/B087YZG5YS/ref=sr_1_19?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-19,https://m.media-amazon.com/images/I/81x55WcoReL._AC_UY218_.jpg
"AOC AGON AG493UCX 49"" Curved Immersive Gaming Monitor, Dual QHD 5120x1440 @ 120Hz, VA Panel, 1ms 120Hz Adaptive-Sync, 121% sRGB, Height Adjustable, 4-Yr Zero Dead Pixels Guarantee,Black/Silver",4.2 out of 5 stars,879,999.99,https://www.amazon.com/AOC-AG493UCX-Immersive-Adaptive-Sync-Adjustable/dp/B07ZSGR4CH/ref=sr_1_20?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-20,https://m.media-amazon.com/images/I/71IXyLtFzpL._AC_UY218_.jpg
"LG 34UM69G-B 34-Inch 21:9 UltraWide IPS Monitor with 1ms Motion Blur Reduction and FreeSync,Black",4.5 out of 5 stars,694,376.99,https://www.amazon.com/LG-34UM69G-B-34-Inch-UltraWide-Reduction/dp/B06XFXX5JH/ref=sr_1_22?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-22,https://m.media-amazon.com/images/I/81tjaxZL6IL._AC_UY218_.jpg
LG Full HD IPS UltraWide Monitor,4.2 out of 5 stars,0,149.99,https://www.amazon.com/LG-25UM58-P-25-Inch-21-UltraWide/dp/B01BV1XB2K/ref=sr_1_23?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-23,https://m.media-amazon.com/images/I/81pv0g8bQhL._AC_UY218_.jpg
"LG 34GL750-B 34 Inch 21: 9 Ultragear Curved Wfhd (2560 X 1080) IPS 144Hz G-SYNC Compatible Gaming Monitor,Black",4.4 out of 5 stars,0,449.99,https://www.amazon.com/LG-34GL750-B-inch-Ultragear-Compatible/dp/B07R5R9VR9/ref=sr_1_24?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-24,https://m.media-amazon.com/images/I/917wt-OzDVL._AC_UY218_.jpg
"Samsung 49-Inch CRG9 Curved Gaming Monitor (LC49RG90SSNXZA) – 120Hz Refresh, Ultrawide Screen QLED Computer Monitor, 5120 x 1440p Resolution, 4ms Response, FreeSync 2 with HDR, HDMI",4.4 out of 5 stars,596,1237.33,https://www.amazon.com/Samsung-Double-49-Inch-Monitor-LC49RG90SSNXZA/dp/B07L9HCJ2V/ref=sr_1_25?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-25,https://m.media-amazon.com/images/I/71916r38cNL._AC_UY218_.jpg
ViewSonic Elite XG350R-C 35” UltraWide 21:9 Curved 1440p 100Hz RGB Gaming Monitor with FreeSync HDR10 and Advanced Ergonomics for Esports,4.5 out of 5 stars,425,599.99,https://www.amazon.com/ViewSonic-Elite-XG350R-C-UltraWide-Ergonomics/dp/B07MR337HK/ref=sr_1_26?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-26,https://m.media-amazon.com/images/I/61cqIIruxYL._AC_UY218_.jpg
"VIOTEK SUW49DA 49-Inch Super Ultrawide Monitor | 1440p 120Hz 4ms 1800R | 5120x1440p 32:9 Dual QHD Monitor | Zero-Tolerance Dead Pixel Policy, 3-Year Warranty | 2X HDMI 2.0, 2X DP 1.4, 3.5mm (VESA)",4.3 out of 5 stars,0,979.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A00506753C9L25EO51O5U&url=%2FSUW49DA-49-Inch-Ultrawide-Monitor-5120x1440p%2Fdp%2FB08FCPJKJV%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-27-spons%26psc%3D1&qualifier=1598580153&id=1555931968675613&widgetName=sp_mtf,https://m.media-amazon.com/images/I/71JKD48eHML._AC_UY218_.jpg
"HP Pavilion 32"" LED QHD Monitor for Business and Student, 2560x1440 Resolution, 3000:1 Contrast Ratio, 300 cd/m²Brightness, Display Port, 1 x HDMI, Black, iPuzzle 5ft HDMI Cable",5.0 out of 5 stars,2,339.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0645000ETQ5S1CXYOQO&url=%2FHP-Pavilion-Business-2560x1440-Resolution%2Fdp%2FB08DHWDDFN%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-28-spons%26psc%3D1&qualifier=1598580153&id=1555931968675613&widgetName=sp_mtf,https://m.media-amazon.com/images/I/713RZWhmMbL._AC_UY218_.jpg
"LG 34"" UltraWide IPS FreeSync LED Monitor 2560 x 1080 21:9 34WL600-B",4.6 out of 5 stars,55,346.99,https://www.amazon.com/LG-UltraWide-FreeSync-Monitor-2560/dp/B07YRXF62V/ref=sr_1_29?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-29,https://m.media-amazon.com/images/I/81JnepXLNuL._AC_UY218_.jpg
"Samsung Business CH890 Series 34 inch WQHD 3440x1440 Ultrawide Curved Desktop Monitor for Business, 100 Hz, USB-C, HDMI, DP, 3 Year Warranty (LC34H890WGNXGO), Black/Titanium",4.0 out of 5 stars,22,621.44,https://www.amazon.com/Samsung-Business-3440x1440-Ultrawide-LC34H890WGNXGO/dp/B08623SZH9/ref=sr_1_30?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-30,https://m.media-amazon.com/images/I/71qkzkC7bHL._AC_UY218_.jpg
"Sceptre 34-inch Curved UltraWide 21: 9 Creative LED Monitor 2560x1080 Frameless HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C345W-2560UN)",4.5 out of 5 stars,288,349.97,https://www.amazon.com/Sceptre-C345W-2560UN-34-inch-Curved-Ultrawide/dp/B0812DHWCJ/ref=sr_1_31?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-31,https://m.media-amazon.com/images/I/71VyzCYM6fL._AC_UY218_.jpg
Dell UltraSharp U3415W 34-Inch Curved LED-Lit Monitor,4.4 out of 5 stars,873,614.99,https://www.amazon.com/Dell-UltraSharp-34-Inch-LED-Lit-Monitor/dp/B00PXYRMPE/ref=sr_1_32?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-32,https://m.media-amazon.com/images/I/71br6lyzhuL._AC_UY218_.jpg
BenQ EX3501R 21:9 Ultrawide Curved QHD Monitor | 34 inch class (35 Inch) | HDR (3440 X 1440) | eye-care Tech | 100 Hz Refresh Rate and FreeSync for Gaming,4.3 out of 5 stars,327,649.99,https://www.amazon.com/BenQ-EX3501R-Multi-Tasking-Brightness-Technology/dp/B077P62F8X/ref=sr_1_33?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-33,https://m.media-amazon.com/images/I/81OkrmgKAoL._AC_UY218_.jpg
LG 34UM68-P 34-Inch 21:9 UltraWide IPS Monitor with FreeSync,4.5 out of 5 stars,507,346.99,https://www.amazon.com/LG-34UM68-P-34-Inch-21-UltraWide/dp/B01BMES072/ref=sr_1_34?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-34,https://m.media-amazon.com/images/I/914g3DegvHL._AC_UY218_.jpg
LG 38WK95C-W 38-Inch Class 21:9 Curved UltraWide WQHD+ Monitor with HDR 10 (2018),4.2 out of 5 stars,151,1046.99,https://www.amazon.com/LG-38WK95C-W-38-Inch-Class-UltraWide/dp/B079L4WR4T/ref=sr_1_35?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-35,https://m.media-amazon.com/images/I/81rbQdqbDiL._AC_UY218_.jpg
Asus TUF Gaming VG35VQ 35” Curved HDR Monitor 100Hz Uwqhd (3440 X 1440) 1ms FreeSync Eye Care DisplayPort HDMI USB HDR10,4.1 out of 5 stars,37,579.0,https://www.amazon.com/Gaming-VG35VQ-Monitor-FreeSync-DisplayPort/dp/B07YP6PFFT/ref=sr_1_36?dchild=1&keywords=ultrawide+monitor&qid=1598580150&sr=8-36,https://m.media-amazon.com/images/I/81SUDW8AxuL._AC_UY218_.jpg
"viozon Monitor and Laptop Mount, 2-in-1 Adjustable Dual Arm Desk Mounts Single Desk Arm Stand/Holder for 17 to 32 Inch LCD Computer Screens, Extra Tray Fits 12 to 17 inch Laptops (Silver)",4.4 out of 5 stars,559,87.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A05381511SJ48C0WGXO93&url=%2FMonitor-Adjustable-Mounts%25EF%25BC%258CSingle-Computer-Screens%2Fdp%2FB07LFWPRG5%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-37-spons%26psc%3D1&qualifier=1598580153&id=1555931968675613&widgetName=sp_btf,https://m.media-amazon.com/images/I/61AMNABGLdL._AC_UY218_.jpg
"2020 Dell P2419H 24 Inch FHD (1920 x 1080) IPS LED-Backlit Anti-Glare Monitor, DisplayPort, HDMI, VGA, USB, VESA Mounting, Black + NexiGo 4K HDMI Cable Bundle",5.0 out of 5 stars,6,259.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07143014GAJEX7P7R7Y&url=%2FDell-LED-Backlit-Anti-Glare-DisplayPort-Mounting%2Fdp%2FB0894RQKTL%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580150%26sr%3D8-38-spons%26psc%3D1&qualifier=1598580153&id=1555931968675613&widgetName=sp_btf,https://m.media-amazon.com/images/I/71OVytEuDiL._AC_UY218_.jpg
"4K Portable Touch Monitor,Corkea 14 Inch 3840×2160 Resolution IPS UHD Touchscreen Display,HDMI/USB C Input,Wide Color Gamut,Support PD Fast Charge for PS3 PS4 Xbox 360 Laptop Cellphone PC MAC",4.0 out of 5 stars,46,329.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A026424639QPQSBXYEYC2&url=%2FCorkea-3840%25C3%25972160-Resolution-Touchscreen-Cellphone%2Fdp%2FB08131MVGT%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580153%26sr%3D8-33-spons%26psc%3D1&qualifier=1598580154&id=4157640306380829&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/718kp6QEHNL._AC_UY218_.jpg
2020 Premium HP 27f 27 Inch 75Hz Bezel-Less IPS Monitor| FHD 1920 x 1080| AMD FreeSync| Natural Silver (HDMI & VGA Port) + NexiGo 4K HDMI Cable Bundle,,,219.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03031872NT4K1QLOBZKR&url=%2FPremium-HP-Bezel-Less-Monitor-FreeSync%2Fdp%2FB089FHZQKL%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598580153%26sr%3D8-34-spons%26psc%3D1&qualifier=1598580154&id=4157640306380829&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61--k5jMgiL._AC_UY218_.jpg
"Deco Gear 43"" Curved Ultrawide E-LED Gaming Monitor, 32:10 Aspect Ratio, Immersive 3840x1200 Resolution, 120Hz Refresh Rate, 3000:1 Contrast Ratio (DGVIEW430)",4.3 out of 5 stars,47,649.99,https://www.amazon.com/Deco-Gear-Curved-Ultrawide-Monitor/dp/B07XJZ3W4Z/ref=sr_1_36?dchild=1&keywords=ultrawide+monitor&qid=1598580153&sr=8-36,https://m.media-amazon.com/images/I/61X-+mHPLhL._AC_UY218_.jpg
Acer Predator 34in LCD Monitor 21:9 Display UW-QHD (3440 x 1440) 4 Ms 100 Hz (Renewed),4.7 out of 5 stars,33,599.99,https://www.amazon.com/Acer-Predator-LCD-Monitor-Refurbished/dp/B07CWXM947/ref=sr_1_37?dchild=1&keywords=ultrawide+monitor&qid=1598580153&sr=8-37,https://m.media-amazon.com/images/I/41Gle3DAuIL._AC_UY218_.jpg
"Dell U-Series 38"" Screen LED-Lit Monitor (U3818DW), Black",4.5 out of 5 stars,397,999.0,https://www.amazon.com/Dell-U-Monitor-pantalla-U3818DW/dp/B073FHWTPL/ref=sr_1_38?dchild=1&keywords=ultrawide+monitor&qid=1598580153&sr=8-38,https://m.media-amazon.com/images/I/71IjK1dq-OL._AC_UY218_.jpg
"Dell U3419w Ultrasharp 34-Inch WQHD (3440x1440) Curved IPS USB-C Monitor, Black",4.3 out of 5 stars,103,745.51,https://www.amazon.com/Dell-U3419w-Ultrasharp-34-Inch-3440x1440/dp/B07HB3ZX9F/ref=sr_1_39?dchild=1&keywords=ultrawide+monitor&qid=1598580153&sr=8-39,https://m.media-amazon.com/images/I/61nd6a-GxsL._AC_UY218_.jpg
"Dell Marketing USA LP Ultra Sharp 49"" Screen Led-Lit Monitor Black (U4919DW)",4.2 out of 5 stars,93,1344.99,https://www.amazon.com/Dell-Marketing-Led-Lit-Monitor-U4919DW/dp/B07KMQT7DB/ref=sr_1_40?dchild=1&keywords=ultrawide+monitor&qid=1598580153&sr=8-40,https://m.media-amazon.com/images/I/81ZXKUvoyuL._AC_UY218_.jpg
